name,href,author,score,record,introduction,tag
巨人的陨落（共3册）,https://read.douban.com//ebook/21496892/,余华,9.2,1175,"肯福莱特世纪三部曲第一部！全球读者平均3个通宵读完的超级小说巨著！ 世界是属于勇敢者的，所以世界是属于我的。 全球读者平均3个通宵看完的超级巨著 全球每三秒卖出一本！ 十年来，最快…
（更多）","['小说', '历史', '英国', '外国文学', '一战', '肯·福莱特']"
,,,,,,
坏小孩,https://read.douban.com//ebook/5674378/,〔日〕伊坂幸太郎 ,9,1043,"结婚第四年，徐静有了外遇，并向张东升提出离婚。 作为上门女婿入赘的张东升，婚前有过财产公证，一旦离婚，几乎是净身出户。左思右想之后，他决定做几件事改变这个结局。 筹划了近一年后，…
（更多）","['悬疑', '推理', '当代', '限时特价', '类型小说', '紫金陈', '推理之王']"
,,,,,,
一个陌生女人的来信,https://read.douban.com//ebook/11228402/,吕灵芝,9,392,"《一个陌生女人的来信》是由奥地利的著名作家茨威格创作的，是其代表作之一，讲述的是一个陌生的女人，在她生命的最后时刻，饱蘸着一生的痴情，写下了一封凄婉动人的长信，向一位著名的作家袒…
（更多）","['小说', '外研社双语读库', '史蒂芬·茨威格']"
,,,,,,
人间失格,https://read.douban.com//ebook/28705279/,〔英〕肯·福莱特,8.4,520,"川端康成说，死亡是最高的艺术。太宰治虽然只活了三十九岁，但他给日本文学留下的印记却是深刻而震撼的。他的作品中往往充满着深深的罪恶感，正如《人间失格》的主人公所自责的那样，苟活着就…
（更多）","['小说', '日本', '文学', '日本文学', '太宰治', '经典印象·小说名作坊']"
,,,,,,
十二个明天,https://read.douban.com//ebook/56693613/,于大卫,1,"刘慈欣新作《黄金原野》中文版全球惊艳首发！一本带你解锁未来的硬科幻巨作，刘宇昆、尼迪·奥科拉弗等13位星云奖、雨果奖得主联袂巨献。雷军、韩松、吴甘沙、余晨、周涛、陈学雷、尹烨、朱进…
（更多）","['小说', '科幻', '短篇集', '科幻小说', '人工智能', '刘慈欣', '刘宇昆', '硬科幻']",
,,,,,,
芬妮·希尔：欢场女子回忆录,https://read.douban.com//ebook/1718675/,紫金陈,7.8,490,"芬妮·希尔，一个向往英国伦敦这个繁华都市的乡下孤女，当她如愿踏上伦敦街道时，却也误入高级妓院，从此展开以身体交易金钱的人生。本书作者约翰·克利兰特意巧妙安排主角芬妮希尔以写信的方…
（更多）","['小说', '英语文学', '情色文学']"
,,,,,,
江户川乱步严选作品集（套装全13册）,https://read.douban.com//bundle/55728422/,〔奥〕史蒂芬·茨威格,"日本推理小说之父，永不过时的经典，没有江户川乱步，就没有日本推理！ 本格与变格、社会派与新本格皆源于乱步； 横沟正史、松本清张、岛田庄司与东野圭吾皆师从乱步。 名侦探柯南、毛利小…
（更多）",[],,
,,,,,,
邻人之妻,https://read.douban.com//ebook/54232695/,龙明慧,9,17,"不可贪图邻人的房产。不可贪爱邻人的妻子、奴婢、牛驴或他的任何东西。（《旧约·出埃及记》） 新新闻主义之父盖伊·特立斯 惊世骇俗之作 九年性爱之旅，终朝袒裎相见 以性爱视角窥见20世…
（更多）","['小说', '文学', '纪实', '长篇小说', '美国', '美国文学', '盖伊·特立斯作品']"
,,,,,,
流浪地球,https://read.douban.com//ebook/19532065/,〔日〕太宰治,8.8,885,"50亿年的壮丽生涯已成为飘逝的梦幻，太阳死了。幸运的是，还有人活着。地球航出了冥王星轨道，航出了太阳系，在寒冷广漠的外太空继续着它孤独的航程。地球在航行2400年后到达比邻星，再过100…
（更多）","['小说', '短篇小说', '科幻小说', '刘慈欣']"
,,,,,,
白鹿原,https://read.douban.com//ebook/7843184/,李建云,9.6,1532,"同名电视剧原著小说，唯一专有版权。 在从清末民初到建国之初的半个世纪里，一阵阵狂风掠过了白鹿原上空，而每一次的变动都震荡着它的内在结构：打乱了再恢复，恢复了再打乱，细腻地反映出白…
（更多）","['小说', '中国当代文学', '限时特价', '白鹿原']"
,,,,,,
侠隐（新版 | 姜文电影《邪不压正》原著小说）,https://read.douban.com//ebook/54036966/,刘慈欣,8.6,90,"《侠隐》是姜文电影《邪不压正》原著小说。讲述一个民国初年的侠义故事，在文字中复活北平繁华顶点。新版收录新版后记，增补作者张北海答客问，讲述《侠隐》前世今生。 民国年间，北平。 时…
（更多）","['小说', '文学', '民国', '中国当代', '限时特价', '影视原著', '侠隐']"
,,,,,,
面纱,https://read.douban.com//ebook/21084166/,〔美〕刘宇昆,9.2,1348,"凯蒂怎么也琢磨不透，丈夫到底有没有发现她出轨的秘密——偷情时门把手的转动、晚餐时意有所指的话语，还有突然要带她前往霍乱之地的决定，这些都让凯蒂的神经越绷越紧。终于，忍无可忍的她打…
（更多）","['小说', '英国', '外国文学', '毛姆', '限时特价', '世界名著']"
,,,,,,
长夜难明,https://read.douban.com//ebook/38154696/,尼迪·奥科拉弗,9.4,964,"国内原创推理大神 紫金陈，高智商犯罪” “推理之王”系列后，心血新作。 嫌疑人杀人抛尸，却因意外在大庭广众之下被当场抓获。现场至少有几百个目击证人，嫌疑人对整个犯罪经过也供认不讳。…
（更多）","['小说', '中国', '悬疑', '推理', '推理小说', '限时特价', '国产推理', '紫金陈', '推理之王', '侦探推理']"
,,,,,,
后宫·如懿传.大结局,https://read.douban.com//ebook/19957783/,陈楸帆,8.8,192,"这偌大的紫禁城，金瓦红墙围起了四方的天。 琅嬅、晞月、玉妍、海兰、绿筠、婉茵、蕊姬、意欢、嬿婉、香见……如流水价的女人，一生最好的年岁，便在这长街上迂回，谁理会她们各自心事凋落。…
（更多）","['小说', '爱情', '言情', '古言', '宫斗', '流潋紫', '如懿传']"
,,,,,,
圣殿春秋（全3册）,https://read.douban.com//ebook/54864849/,刘壮,8,"◆半个地球都在通宵读！ ◆平均每年销量100万册，世界各国持续畅销26年！ ◆《巨人的陨落》作者、爱伦坡终身大师奖得主肯·福莱特里程碑式代表作！ ◆美国、英国、加拿大、保加利亚、巴西…
（更多）","['小说', '英国文学', '文学', '长篇小说', '历史小说', '外国现当代', '肯·福莱特', '中世纪三部曲']",
,,,,,,
无人生还,https://read.douban.com//ebook/5216411/,胡晓诗,9.2,2001,"十个相互陌生、身份各异的人受邀前往德文郡海岸边一座孤岛上的豪宅。客人到齐后，主人却没有出现。 当晚，一个神秘的声音发出指控，分别说出每个人心中罪恶的秘密。接着，一位客人离奇死亡。…
（更多）","['小说', '推理', '英国', '外国文学', '侦探', '类型小说', '阿加莎·克里斯蒂', '阿加莎·克里斯蒂侦探经典']"
,,,,,,
第十年的情人节,https://read.douban.com//ebook/43238065/,〔日〕东野圭吾,8.4,648,"居然会为如此荒谬的故事而流泪……！ 这才是东野圭吾！ 东野圭吾载誉回归，口碑爆棚全新短篇集 对自己而言波澜壮阔的人生，在他人看来也许平凡。 上天对所有人都是公平的。 “只有东野圭…
（更多）","['小说', '短篇集', '日本', '推理', '日本文学', '推理小说', '东野圭吾', '限时特价']"
,,,,,,
东京奇谭集,https://read.douban.com//ebook/30400539/,朱田云,9,175,"《东京奇谭集》收有五部短篇小说，分别为《偶然的旅人》、《哈纳莱伊湾》、《在可能找见的地方，无论哪里》、《天天移动的肾脏石块》和《品川猴》。五篇奇谭中最奇的是最后一篇《品川猴》。一…
（更多）","['小说', '短篇集', '村上春树', '东京奇谭集', '村上春树文集']"
,,,,,,
情人,https://read.douban.com//ebook/2538477/,〔日〕村上春树,8,684,"杜拉斯代表作之一，自传性质的小说，获一九八四年法国龚古尔文学奖。全书以法国殖民者在越南的生活为背景，描写贫穷的法国女孩与富有的中国少爷之间深沉而无望的爱情。 杜拉斯，一个与昆德拉…
（更多）","['小说', '爱情', '法国', '外国文学', '杜拉斯', '2014上半年电子书TOP50']"
,,,,,,
新名字的故事,https://read.douban.com//ebook/32799290/,林少华,9.4,384,"只有你身为女人 才会知道这些丑陋的秘密； 两个女人 50年的友谊和战争； 如何成为那个更强大的她，又不被她战胜。 那不勒斯四部曲NO.2 《我的天才女友》后续， 意大利最神秘的作家费兰特…
（更多）","['小说', '女性', '意大利文学', '外国文学', '限时特价', '那不勒斯四部曲', '埃莱娜??费兰特']"
,,,,,,
赡养人类,https://read.douban.com//ebook/19534299/,〔法〕玛格丽特·杜拉斯,8.8,903,"一个叫“滑膛”的顶级杀手，接到了一个特殊的任务。 十三个世界上最富有的人，雇佣他去杀死世界上最贫困的一群人——拾荒者。 那些拾荒者，不是伪装的间谍，没有隐藏宝藏，只是最单纯、最…
（更多）","['小说', '短篇小说', '科幻小说', '刘慈欣', '限时特价']"
,,,,,,
沉睡的人鱼之家,https://read.douban.com//ebook/34839523/,王道乾,9,1291,"如果推理小说一定要有死亡，这本书所触及的或许就是最残忍最令人绝望的一种情境。 一起事件，一个人的一生因此改变。仿佛跌入蛛网般绝望的挣扎，可这黑暗的尽头在哪里？世界还会有光亮吗？薰…
（更多）","['小说', '日本', '推理', '日本文学', '日系推理', '东野圭吾', '限时特价']"
,,,,,,
夏日终曲,https://read.douban.com//ebook/49890971/,〔意〕埃莱娜·费兰特,9.4,144,"《请以你的名字呼唤我》原著小说。 2007年出版以来长踞《纽约时报》、美国亚马逊书店、Goodreads各种畅销书榜单。 根据这部小说改编的电影《请以你的名字呼唤我》荣获2018年第90届奥斯卡大…
（更多）","['小说', '温暖', '美国文学', '外国文学', '限时特价', '影视原著', '请以你的名字呼唤我']"
,,,,,,
一个人的朝圣,https://read.douban.com//ebook/1526271/,陈英,9.2,1013,"（《一个人的朝圣2》已上架，购买链接： http://read.douban.com/ebook/12413536/ ） 哈罗德·弗莱，六十岁，在酿酒厂干了四十年销售代表后默默退休，没有升迁，既无朋友，也无敌人，退休…
（更多）","['小说', '旅行', '文学', '限时特价', '发现自我', '蕾秋·乔伊斯']"
,,,,,,
